N1	N2	Na	Tsplit
0.18300	4.53589	2.87755	2.54482
1.24711	1.57943	4.54755	2.66631
2.98587	0.50016	0.03476	0.50366
3.10442	1.63925	3.44993	1.14348
0.25506	4.85739	2.96216	0.48243
4.22547	4.44364	3.91974	2.41870
0.41796	2.21637	2.05348	0.78374
0.62993	1.08419	0.65024	2.65566
3.15962	2.15253	2.20013	3.79659
3.70273	1.11057	0.77667	3.79112
1.83752	4.08512	2.23008	1.53463
4.66483	0.47256	4.26334	0.13699
3.61600	1.24541	1.33720	0.33177
2.22924	3.48021	3.39789	2.89647
2.00135	2.80269	2.18817	3.04876
1.29841	0.05291	0.02656	0.40711
0.00624	2.76562	0.44241	0.18828
3.22522	3.52096	0.62497	2.74148
4.50983	4.52722	0.70474	1.06901
4.30101	3.13028	3.24814	0.97777
1.64388	0.01978	2.53600	2.46916
1.13156	4.81482	0.54611	2.43125
4.86944	0.71155	3.16873	3.13731
1.53684	3.03616	0.70981	0.47389
0.90671	2.95660	0.84281	0.99905
1.90228	3.60091	0.62600	2.18641
3.62232	0.25061	2.70501	0.16053
1.95357	3.98497	2.71980	2.66434
2.77132	2.90661	2.85548	0.71354
1.97367	1.00064	4.60627	0.78914
0.41965	2.04425	1.44252	3.83207
3.56866	2.70562	0.70532	1.88482
3.95025	3.22758	0.88718	2.54897
1.95505	2.99318	2.78536	0.64434
3.11221	4.70608	4.01418	0.59965
0.09719	0.30014	0.15144	2.13382
3.53280	4.59981	0.96191	3.29630
4.39515	4.08073	2.99653	2.06147
2.78318	0.42926	1.08897	3.19011
0.76773	4.75363	3.67293	0.73501
0.49230	4.88307	2.87011	1.10185
0.68767	3.70318	0.36794	1.37355
4.93120	3.99480	2.94451	3.68169
4.87787	1.56457	0.43546	1.21720
2.99168	4.37507	0.77554	1.95523
0.39251	4.76842	0.71253	3.33947
1.12116	2.81844	1.22455	2.68034
4.61046	2.10543	1.65497	1.90058
0.23618	0.31869	0.60274	0.70215
0.23905	2.69864	4.18299	2.83743
3.85209	0.09026	0.95317	3.26429
4.47100	1.94002	2.07082	1.25982
3.94030	0.88386	3.75497	2.53108
2.46160	0.42865	4.43447	1.44653
4.00456	1.96332	2.11322	3.91923
4.41944	3.53845	3.11996	0.27888
3.34405	1.12400	1.36530	2.34301
0.03268	4.79970	2.54864	3.69148
3.15083	0.88780	0.07708	2.38003
1.99044	1.67485	2.56320	1.88129
1.77269	3.91927	4.53006	1.66943
3.45210	4.89509	0.67250	0.31511
0.43135	4.27227	3.74784	1.23204
0.04951	3.48588	2.04142	1.45542
1.66368	0.75427	4.38233	0.45127
3.95670	1.47228	1.17491	1.28650
2.72841	2.40491	3.59170	1.75951
2.29316	4.86699	0.28109	3.97563
4.47592	4.39163	3.25857	0.11746
1.88727	3.26112	1.18553	1.31638
2.24804	0.22842	1.90565	3.78128
1.55050	3.66350	0.54389	3.33539
3.26503	1.45933	0.25768	2.18189
3.38346	0.44183	4.74296	1.89039
3.63257	2.59152	1.96518	1.94637
0.75259	2.68844	1.81544	3.06882
4.35161	0.56161	2.98468	1.51315
1.94403	0.85075	4.93967	0.84834
0.04567	0.47193	4.29563	0.17453
3.92298	3.01528	3.58946	0.04862
0.20379	2.79643	3.93310	0.02362
1.19717	1.97939	1.48565	3.50195
2.11732	3.45728	3.68598	2.49985
1.65961	1.47770	4.85331	3.08895
2.39262	0.79494	1.93737	1.50561
4.29883	4.75782	2.58002	1.95434
1.43653	2.19185	4.90341	0.82503
2.13153	2.33316	3.05939	3.32778
4.70887	2.57779	2.68311	3.79578
1.43643	0.24186	1.58519	1.07236
0.55327	2.89449	1.61195	0.27255
3.43341	2.39653	3.59524	2.91348
2.68831	0.66152	2.30611	3.73446
2.65391	3.25076	1.19249	0.18801
3.87496	2.73537	1.28244	0.57365
3.71082	1.02275	1.74125	2.19547
4.16251	4.16269	0.28249	2.06398
0.36195	4.96979	1.61627	2.47298
2.65227	3.97209	3.95913	0.76088
4.70506	0.57019	3.80784	0.77243
0.33705	1.78903	0.85011	1.26875
3.07183	4.08779	0.82503	3.30784
4.21203	0.49951	2.76395	2.45813
4.66354	4.96011	1.15456	3.17222
3.54528	3.23851	3.09993	1.49668
3.11215	2.49850	1.74989	2.04822
0.87985	3.43771	2.40503	2.03368
2.18970	3.23785	1.96850	0.97983
0.39814	4.88552	4.28973	3.95469
4.13373	0.50215	4.99214	2.20795
4.26634	0.49501	2.82619	3.03658
1.62307	4.99839	4.14826	1.08526
0.50136	4.62777	4.37527	3.82424
4.53709	2.77898	3.92924	2.64562
0.62106	4.44671	1.91079	0.33615
2.71867	3.98628	0.76437	0.69697
0.12961	2.69767	0.11055	3.69530
2.97535	2.18067	1.46466	2.23198
0.44279	3.27688	2.28230	3.44902
0.77500	2.12325	2.71345	2.70647
0.31517	3.47796	1.35508	0.55883
2.17547	2.30872	2.20894	0.80426
0.19338	1.73645	3.75844	2.90492
4.53884	0.57162	1.94293	3.79699
0.52224	1.76618	4.03568	0.05966
1.16167	0.23998	0.28723	2.33451
2.74692	4.26462	2.45259	1.81337
3.79949	1.56907	0.30099	2.57948
4.84190	4.17600	4.47218	0.22473
2.77634	1.49160	1.47234	1.61113
4.96746	1.77679	4.06551	0.93376
4.51186	4.56629	3.52501	2.89629
0.74919	2.75208	2.94037	1.23863
2.56970	4.92124	2.68871	3.89764
0.46640	2.11877	4.79400	3.34259
4.14120	0.61197	4.53830	0.86718
0.91409	3.02699	0.36039	3.95962
3.11151	3.16512	0.37032	3.84373
0.48507	4.54024	0.56440	2.39618
1.88930	2.75623	3.39766	0.26929
4.57627	1.83013	4.71852	3.78733
4.88003	0.13996	0.01907	0.54385
2.83900	1.57233	3.03350	2.72492
3.67021	2.23351	1.33841	1.02955
3.37393	4.56577	1.57637	3.17822
4.32448	0.24113	0.82094	3.07751
2.48098	3.02573	2.06866	1.63238
2.31961	4.93441	3.26206	1.95450
3.55219	1.86424	2.48574	2.27237
0.75825	4.02039	4.49783	3.16529
0.45651	4.24011	2.82423	1.59965
1.98050	2.49894	1.64436	1.44149
2.95989	3.05370	1.67245	0.01896
3.68376	4.81125	3.05119	3.32169
4.32914	4.93430	4.99803	0.41370
4.14218	0.22633	0.42157	2.99164
1.17024	0.86281	1.23133	1.65540
2.99303	2.89747	4.46371	1.99624
3.35940	1.79919	2.64640	3.82572
2.32963	2.89425	0.02236	3.78812
2.35065	0.76548	2.28969	3.21725
1.39380	0.01206	2.49494	3.13179
2.35592	3.73312	2.04911	0.55085
0.27564	4.74804	2.95309	3.96935
3.63596	4.01790	0.07006	1.03634
4.15042	4.29381	3.50440	1.05904
1.79992	2.98450	2.36410	0.38322
1.50209	0.12753	1.46475	1.26610
1.83533	0.51578	2.12265	1.36135
4.99338	0.14943	0.98133	1.12528
1.54377	0.77511	3.76545	3.02260
3.31068	1.53183	4.64536	2.20769
2.30360	3.61701	2.88632	2.90572
4.85756	1.18369	0.05301	3.78746
2.15853	3.37689	4.24157	3.39283
3.36891	2.21472	4.06015	0.98812
4.49111	3.92283	3.26357	1.46673
3.07321	1.63090	4.07203	1.83016
1.32711	1.44535	4.56661	2.77362
3.10599	4.00599	2.63017	0.26629
4.69557	1.67820	1.84271	2.48236
4.75043	3.70045	0.66437	0.11155
2.87029	2.22036	4.26500	2.71655
2.15658	1.33673	3.26558	2.80739
1.03526	2.36282	4.64975	0.83880
2.14186	1.39755	2.22406	3.49248
3.05192	3.62597	0.47709	0.17548
0.29840	4.97611	4.58958	3.09626
4.29450	0.68239	2.13383	3.89471
3.68841	2.45684	4.93678	2.34951
1.94742	4.94156	3.29007	0.63898
3.60259	1.02538	4.17431	0.46274
0.27497	1.03871	3.85303	0.90240
3.51269	4.12641	1.11283	1.87134
4.25039	0.04826	3.07765	3.98715
4.80278	3.80921	3.50179	1.21523
2.97823	2.64331	4.37341	3.30277
2.20912	4.51415	0.83204	1.48594
1.98174	4.81390	3.91179	0.09941
0.96058	1.74553	3.02450	0.50644
3.35957	2.89081	0.63869	3.05313
2.15516	3.11865	4.15930	1.77006
3.19633	0.74701	4.50245	2.18843
4.60045	3.66099	3.09746	3.15598
0.39703	0.72590	1.96064	3.10699
2.63986	0.77193	0.14611	0.54512
4.98974	3.58650	2.48655	0.56505
4.34030	4.37910	0.63431	2.63767
1.70455	2.16716	0.35862	2.47610
2.23104	4.27182	3.31842	1.47217
0.41784	2.29905	4.08578	2.76053
2.61571	2.86292	2.71114	1.64187
4.49301	0.47363	1.70599	2.43783
4.70288	0.38713	3.90309	1.16049
2.82277	0.36808	0.55622	1.09155
2.72683	3.49765	4.44056	1.37766
4.66975	2.59744	2.88663	1.27016
3.46305	4.08773	3.94188	1.09800
1.84252	2.42261	2.17019	2.07283
2.72952	2.30436	0.68406	1.07656
3.98109	4.52111	4.22527	3.34749
1.58230	4.49891	2.67546	0.63994
1.08096	1.53777	3.42232	1.28011
0.70794	3.39297	1.17895	1.18194
0.12850	1.78229	1.76301	1.14856
4.88155	0.04153	3.04833	1.42402
4.27004	0.72392	4.07050	2.80877
3.61410	0.39061	3.47593	1.91263
1.09955	3.92330	1.00711	1.85637
3.30253	0.63626	2.49706	3.27310
2.59830	0.77699	0.02088	2.49999
1.06891	1.01647	0.54657	1.14695
4.98279	4.14174	2.79360	0.50352
3.42255	4.09586	1.35134	3.33899
0.86894	1.43643	4.56907	0.40917
4.29861	3.32701	1.86824	3.98531
4.71075	3.20865	4.79755	2.81389
3.46542	4.27027	1.01861	3.00437
2.74411	4.95145	3.99898	2.65015
4.98485	4.82316	0.29267	1.72301
2.07454	2.60226	0.12823	2.31934
0.59787	2.53827	0.84976	0.72793
4.24122	4.84552	3.06395	3.41515
2.22178	0.27379	0.98044	2.03436
4.48091	3.02433	2.20008	2.82812
3.27122	3.52772	4.12949	0.02818
1.93353	3.10741	3.57157	3.35243
2.56787	1.17957	1.07423	3.95452
2.47781	1.27437	3.25970	2.10037
4.15855	0.21829	1.81581	3.83164
4.69110	2.73206	0.61119	1.47944
0.79562	3.26440	4.06929	2.00251
0.29767	1.44468	2.65971	2.28801
4.51284	4.93915	4.17819	1.91604
0.61078	1.73337	2.96214	2.17701
3.19728	1.68628	3.08243	2.12322
0.39570	2.34084	2.97177	1.95168
2.18364	0.81633	0.82938	1.35624
4.44783	0.35230	0.38686	1.61087
0.84569	0.61577	2.81241	2.71817
2.16578	2.98827	4.01097	1.22029
0.77739	3.23499	0.28813	3.26767
2.76980	4.21907	4.84931	2.72498
3.21188	3.95705	3.56972	1.12349
1.07222	3.47072	0.63244	1.84036
3.25394	1.91163	3.19999	2.43175
2.05441	1.51641	0.03085	2.15589
1.09557	0.01804	2.41702	3.55986
3.18474	1.24649	1.17252	2.02444
4.72663	3.53286	1.30101	1.15347
4.90552	1.03795	2.83075	0.59382
3.22621	3.52779	0.46746	3.80538
1.71699	1.84628	3.41933	0.28730
2.56586	4.70977	2.06101	2.79481
4.10758	1.80832	4.72098	3.17143
1.11886	4.13267	2.58750	1.64070
0.46168	4.03416	2.16309	2.11034
1.57622	2.40882	1.84078	2.90383
4.29903	4.81956	1.54603	1.19904
4.96227	3.85967	2.53983	3.31967
1.30867	0.44311	0.81668	0.09920
3.16407	0.37520	4.48671	3.48300
2.71241	3.51111	0.64878	0.45559
4.90417	1.48031	4.28487	1.90065
2.23583	4.37999	2.51573	3.72689
3.08126	2.19437	1.62526	3.98918
2.77405	0.71537	2.22265	2.23620
4.69532	2.01484	2.00653	3.32332
3.62222	0.07940	1.71110	1.65447
2.92978	0.78339	2.31363	3.51185
0.97346	4.17560	0.87009	1.03568
0.99107	1.58346	0.87380	0.99467
4.91438	1.18692	1.29938	1.21188
4.29364	0.28955	2.28473	2.12970
1.42149	4.95640	0.67196	1.81526
1.53306	3.67892	0.36729	2.69861
1.69301	3.69524	4.87786	0.66791
2.17633	1.12856	4.81917	0.67161
1.67231	0.11983	1.63769	1.67523
2.98314	0.23742	0.70292	1.78312
4.45455	2.34639	1.68531	2.16773
1.80385	0.23335	1.04842	0.21098
4.71072	3.12954	2.26391	0.87198
0.51535	1.38082	4.67601	3.72169
1.25133	0.19112	1.43925	2.78352
2.80034	3.17717	4.60462	3.94752
1.38719	2.20582	3.14785	0.25788
3.57934	4.42676	1.27003	2.67498
2.93987	4.52201	0.63354	3.47652
1.28381	4.77197	4.77550	2.32877
0.59808	1.98794	1.71184	2.46471
0.97234	4.01230	4.98653	1.72860
1.19942	3.30910	0.63417	0.43623
1.68964	4.23377	1.88298	3.67843
3.26664	1.76487	1.06788	0.55885
2.52300	3.91149	3.45491	2.11753
2.05288	4.86511	2.61847	2.66953
0.37794	0.38652	4.78182	0.18431
0.41306	2.92834	0.73204	0.73131
1.72774	4.40758	3.44899	3.72476
3.96752	3.35092	4.78657	1.76677
0.01577	3.62799	3.35456	3.72175
3.10586	4.70983	4.28542	3.28545
3.50366	3.06050	2.18807	0.25736
3.58717	0.05358	2.53828	2.26352
4.50186	1.43596	3.60337	1.72079
0.39121	2.89770	4.16951	1.96440
4.50850	1.57150	2.39960	3.77677
1.98796	1.86547	0.75672	0.34389
4.45891	1.43273	4.94605	0.92326
3.17608	0.32790	0.23143	1.87435
2.82223	3.44522	2.05636	3.83489
3.67809	2.68592	3.95060	0.93439
3.52530	1.66393	0.63054	2.78003
2.26866	0.74711	4.88398	0.77533
1.05383	1.25632	1.14888	1.79504
4.10819	0.83241	0.79193	2.39885
4.02237	0.49837	4.67408	2.74432
4.22162	0.13699	2.57961	2.57481
4.89684	4.95192	2.43614	2.21460
0.62908	1.56871	0.25303	3.78968
0.65103	3.22588	1.05734	3.08060
0.03580	4.87619	2.17509	2.43892
1.44856	2.21400	2.75387	3.58097
1.46117	4.10849	0.94018	3.64611
3.30398	0.26007	0.17828	2.30995
3.18773	2.30281	0.04379	1.40336
4.06254	1.22483	4.22633	2.59793
3.12095	4.14990	2.09931	2.84353
2.62306	4.27833	3.65166	3.08665
0.56455	1.41406	4.59249	2.34359
4.21557	2.44371	3.70135	3.88871
1.86248	3.07018	4.78851	1.30200
3.61990	3.82981	1.37479	2.31229
3.36359	3.41682	4.23558	0.52065
1.53355	3.36064	4.05393	0.19543
2.10138	2.16424	3.41233	1.03400
3.70617	2.02664	0.36208	0.86674
2.32666	0.97273	2.47916	3.99069
2.43592	1.48588	4.73023	3.89248
3.19773	4.75065	4.95094	2.16724
4.41853	1.99088	4.44897	3.45965
3.59079	3.31750	1.57084	1.49649
3.23972	3.64058	0.97553	0.37897
0.98685	0.53410	0.17643	1.51862
2.12710	1.64373	1.82727	0.49396
2.92201	3.70147	1.41572	3.44290
2.31687	2.03305	3.75453	3.33939
3.47445	2.30598	1.32390	1.50670
0.44983	0.01938	3.57900	2.09656
3.81759	4.25936	3.98979	2.97886
2.23471	2.66035	2.34432	0.40356
2.58082	2.53369	3.04323	1.44266
1.62162	1.91083	1.28967	2.06404
4.83621	2.34334	3.60075	1.88637
4.45665	3.99355	3.08494	3.37562
2.68104	0.27768	2.20085	3.09302
0.39648	1.38633	2.47227	0.24116
4.47443	0.75371	3.46177	0.09935
4.48440	3.79913	4.48561	1.46976
3.29894	3.15523	0.29122	0.95442
3.92569	0.43118	2.33309	1.84721
1.91509	3.85253	1.18954	3.16824
2.25523	1.09388	0.70043	2.18446
2.52658	0.09609	4.06862	0.21956
1.69484	3.80756	3.98300	0.86348
0.13351	3.59632	1.78669	3.65044
0.57517	2.54711	4.19520	0.76117
3.37691	3.98836	4.78694	1.24634
2.20044	1.96569	1.31501	3.89808
1.09679	4.24207	4.12778	3.80376
0.19376	2.47711	2.78843	3.94490
0.70756	0.82412	0.17005	0.42715
0.11697	1.55952	0.79923	0.96338
4.58283	3.70540	4.65817	1.96340
1.80611	1.49793	2.83157	3.45638
2.21086	2.98681	2.88766	3.87878
4.90930	4.74479	3.23418	0.07661
3.84495	2.05165	2.72840	3.63236
0.13530	3.59737	0.11482	0.82639
1.29144	1.53209	0.89721	2.71354
0.02794	1.51051	2.55251	2.98033
1.58014	0.47838	0.12319	2.07265
0.99413	1.34600	4.80545	3.04184
3.69855	4.40175	0.53933	1.15491
0.80787	3.66115	4.52215	1.59507
3.22744	3.15452	1.24079	0.17788
3.94707	1.11442	0.46398	2.79011
2.10391	1.08922	0.36268	0.97606
3.75645	2.28374	0.29381	2.12309
3.07440	4.64643	1.34614	2.68137
3.61368	4.81823	0.77619	3.64966
2.00802	0.23276	0.21770	0.58527
2.08431	0.85235	3.46011	2.35442
2.06067	4.07799	4.87453	1.82730
4.89457	4.51656	1.33881	2.58248
3.70202	0.26862	1.39373	2.58386
0.77948	4.00499	1.77685	0.77577
4.77351	4.22279	2.11559	2.33752
0.69213	2.36256	4.69151	0.74147
4.57977	0.27640	2.17544	3.15518
0.66819	0.77192	3.49531	1.84112
3.88027	2.77136	3.22211	1.44030
4.65370	2.13672	0.62470	2.12270
2.74352	0.25416	4.31839	1.45000
0.25837	4.02587	1.94844	0.36349
0.93564	3.77123	3.56076	3.92164
0.34368	1.61272	3.93442	0.16452
0.93891	1.09311	4.71830	2.02302
2.91632	0.87420	0.62721	2.96533
3.90822	2.57924	4.89018	2.33791
4.23521	3.23828	0.69783	2.85825
2.61872	2.28594	3.86099	0.75972
2.51281	1.92068	2.62013	1.62390
0.37734	4.13356	2.34111	2.54064
1.20105	3.47529	0.58546	1.36899
2.02692	0.19016	0.07298	1.40835
0.70033	2.94751	1.25443	0.94658
0.54360	4.25848	3.49114	0.61057
1.66012	1.50910	0.64198	3.04056
3.91931	4.57710	4.27088	3.48241
1.82404	2.74276	3.05839	1.29927
1.46345	3.20871	0.31968	2.90153
4.98539	1.09021	0.01034	0.47904
0.31560	0.21009	1.95918	2.58085
4.69938	4.40190	1.61897	0.15091
0.03998	0.02251	3.81155	0.02088
3.76250	4.12238	1.07985	1.73293
0.09582	2.83163	1.06000	1.77502
1.95570	3.41811	3.16317	2.32666
3.89748	3.35238	3.79066	0.09701
3.74909	4.93752	2.74982	1.80894
1.16570	1.76690	1.81187	0.90178
1.16551	2.58809	1.39018	3.84700
4.80862	3.38083	0.17844	2.82327
2.10952	3.50624	0.22966	2.91977
2.45557	0.31187	3.89064	2.59256
0.74572	0.52644	3.62198	1.25926
3.21659	3.84416	2.73406	0.44111
2.38720	1.24598	4.88397	1.48558
0.62191	4.91079	2.75790	0.20838
3.93859	3.93184	1.95032	3.09623
1.46316	1.48107	1.19401	1.26118
4.37611	4.74476	0.38844	1.69311
4.78049	2.19639	2.87735	0.47864
0.38792	4.86653	4.00246	0.04543
1.04004	4.15590	4.88101	0.18307
3.75974	4.65037	3.60651	1.26603
1.69418	3.24114	0.44129	3.12306
4.20911	2.43889	0.54582	0.71097
1.69482	4.34420	4.66217	1.69212
1.09448	1.70784	2.72985	2.33777
2.60687	1.11448	4.25270	0.86393
0.69242	0.01442	2.48968	2.77003
3.62279	4.20933	4.93621	0.00658
0.60927	3.04807	3.98882	1.80171
4.41879	0.54091	1.22932	1.09018
2.12459	3.67077	3.30894	3.49746
1.35010	2.89828	1.20443	2.65570
2.60765	0.45836	0.06370	1.66747
1.41313	3.00038	0.09496	2.71605
2.73129	0.96798	1.10342	3.86509
0.45409	0.83651	3.30491	0.66557
4.74860	1.94149	0.89084	2.78111
2.54420	2.11723	0.97747	2.93898
0.31734	1.55501	1.04656	2.85158
0.42483	0.06587	2.20646	2.46483
3.49575	1.37686	2.77143	3.06960
2.55445	2.82985	4.15572	1.38528
1.68650	1.65738	1.76026	0.61975
2.85865	2.50525	1.79982	0.70281
4.09107	3.18230	2.28924	1.26569
2.78614	3.44760	3.64112	1.13249
1.78815	3.32747	0.91561	2.18860
4.20995	2.08867	0.52174	1.67966
2.23491	4.96413	0.53171	3.53077
0.50772	1.02544	2.19855	0.36707
1.42053	0.25756	3.28162	2.81216
2.29124	3.68574	2.26546	0.65479
0.47393	1.38679	4.51017	2.04662
1.18856	1.73851	1.24156	1.84133
3.19623	2.02291	2.52050	0.40381
4.09697	4.52281	1.86836	3.18740
1.89898	3.89932	1.17793	2.50448
2.14689	2.87169	2.55177	3.19899
3.19386	0.29258	1.43398	0.18805
1.02498	4.41370	3.34687	0.66983
4.69098	2.35692	1.47788	2.74764
3.79516	4.69238	4.91586	2.50052
3.01513	3.47365	4.72443	2.56501
4.55084	0.34860	1.15913	3.12843
4.12624	4.93258	1.38936	0.17476
1.35620	0.05109	4.31605	2.61680
0.02550	4.30630	0.63288	3.67131
4.46898	1.54028	1.56815	3.11495
1.69332	0.55802	4.49320	0.93931
4.60843	2.53223	4.57416	2.54722
4.49633	3.22776	1.22713	0.33492
4.86146	2.06864	2.57776	3.61877
3.91200	1.52844	3.15252	0.44424
4.34682	0.89716	4.89055	0.10551
0.51175	4.99164	0.52843	0.10886
4.43041	0.01333	4.42673	2.14780
1.00262	2.58136	0.62796	0.11898
4.70779	3.38292	2.16012	3.58793
1.91311	0.45611	1.07822	3.48927
3.99877	4.40262	4.05015	3.89320
0.58482	3.09496	0.90534	0.74922
4.66639	1.34988	0.74982	2.64925
1.19692	0.21775	1.13013	1.34630
0.38226	0.88655	3.97957	1.52902
4.61385	3.22926	3.42468	1.50908
0.14170	1.41995	2.39837	1.90805
3.41387	3.55390	1.31911	3.14259
1.10528	0.68916	1.04578	0.76323
3.89508	2.47361	3.14680	2.15349
3.58904	0.02052	1.42071	3.78160
4.57081	3.68821	2.74530	0.61888
4.80317	4.40293	4.17318	3.11513
4.06663	3.22142	3.60339	0.13957
2.65116	2.57562	3.17429	1.64802
4.08810	1.82333	1.47702	0.02948
3.70419	0.87779	3.14880	0.50930
4.61158	1.71216	0.09022	0.66243
0.21856	3.38758	0.31002	0.52824
0.76459	1.11625	1.22319	1.32591
1.58515	1.12614	0.88564	3.39929
3.24344	0.90807	2.62214	3.40623
0.61599	3.58262	1.22492	1.03073
1.27739	0.27306	4.91316	1.74631
0.50269	4.42316	4.00697	1.58596
1.89394	1.52971	1.68051	1.39730
3.57577	4.68586	0.88585	0.54307
2.29350	0.02786	1.40353	3.36354
0.75193	4.88278	1.93332	2.14801
4.20895	3.12338	2.46505	0.75970
2.31191	0.06000	2.56839	1.52038
4.87797	2.32560	3.40440	0.66987
3.66235	1.98865	0.93464	2.96510
1.23586	2.53341	1.40153	2.83201
3.45698	2.16656	4.75747	1.58966
0.81259	0.57750	2.01499	2.77705
4.14559	1.85775	0.53764	3.72738
0.93333	0.59152	1.02671	1.01762
0.42066	2.33635	0.78197	0.28169
0.86587	3.47658	0.52352	2.83429
1.78518	3.70382	0.74033	1.67817
2.00390	1.01038	4.68121	2.23200
3.64775	4.36124	4.14043	0.52506
1.70085	1.58281	2.29660	1.38240
3.00152	1.47409	4.31613	1.67588
4.99621	3.53211	0.19165	1.07864
2.32773	3.16769	4.07456	2.63017
4.24942	3.19898	4.05332	2.88785
4.52235	1.66348	2.78827	0.43826
2.15300	0.45065	2.13247	3.40531
4.87445	0.63958	1.56499	3.61129
1.60315	0.38024	0.24782	3.11007
3.01956	3.72109	4.05210	2.72867
0.54598	0.47967	2.10499	2.52948
1.74412	1.57428	3.22076	2.07009
3.07575	4.44395	0.77549	0.19959
3.46953	1.40280	4.53543	1.10864
2.84825	3.49215	4.03013	3.18104
1.14664	0.45516	2.28327	2.14167
2.53005	2.23179	4.18489	0.92396
2.11782	0.05247	0.73666	2.40408
2.33208	0.47772	1.00291	3.56874
3.43238	1.61470	0.76983	3.93070
2.28937	1.23254	1.47474	2.50012
3.51689	1.69938	4.98423	3.36716
4.86846	1.31027	2.34679	2.95232
3.90062	2.85381	0.64915	3.70888
2.64914	0.07602	3.97616	3.45599
1.49307	0.73715	0.96558	2.08103
0.28346	4.54001	0.87388	2.46284
4.65766	2.88383	0.98593	2.56625
2.45852	1.22957	1.22895	3.91886
2.72866	2.81777	1.17266	2.97468
1.37211	0.13064	1.22903	3.37656
